check	result
Local_biological_dataset_present_in_repo	No; public benchmark dataset selected because the repository contained software assets but no analysis-ready biological data.
Primary_dataset	GSE121212
Primary_contrast	Psoriasis_lesional_vs_healthy_skin
Secondary_validation_contrast	Psoriasis_lesional_vs_nonlesional_paired
Primary_samples	28_psoriasis_lesional_vs_38_healthy
Secondary_samples	27_paired_cases_(54_total_samples)
Primary_DEG_threshold	DESeq2_FDR_lt_0.05_and_abs_log2FC_gt_1
Primary_DEG_count	4527
Primary_Reactome_FDR_lt_0.05	679
Shared_significant_pathways_primary_and_secondary	607
Shared_DEGs_primary_and_secondary_FDR_lt_0.05	14026
Spearman_rho_log2FC_primary_vs_secondary	0.961629426353115
Major_positive_programs	Cell_cycle_translation_neutrophil_degranulation_interleukin_signaling_interferon_signaling
Major_negative_programs	Non-integrin_membrane-ECM_interactions_extracellular_matrix_organization_ECM_proteoglycans
Likely_confounds	Public_processed_counts_no_explicit_batch_covariate_in_series_matrix
Mitigation_strategy	Used_both_unpaired_healthy_control_and_paired_nonlesional_validation_with_high_effect-size_concordance
